Cbench started.
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.03  1292.16      0.07    15624     0.00     0.00  IPAddr#to_i
  0.03  1292.23      0.07    35146     0.00     0.00  Array#last
  0.03  1292.30      0.07     4177     0.02    23.19  BinData::Base.read
  0.03  1292.37      0.07     6367     0.01     0.01  String#gsub
  0.02  1292.43      0.06    30648     0.00     0.00  Module#==
  0.02  1292.49      0.06      521     0.12    95.68  Trema::Controller#send_message
  0.02  1292.55      0.06     3126     0.02     0.02  IPAddr#ipv4?
  0.02  1292.61      0.06     9607     0.01     0.01  BinData::DSLMixin::DSLParser#fields
  0.02  1292.67      0.06     2606     0.02     0.04  BinData::IO::Write#initialize
  0.02  1292.73      0.06    26056     0.00     0.00  String#hex
  0.02  1292.79      0.06       96     0.63     1.25  #<BinData::Struct:0x00000003452998>.flags
  0.02  1292.85      0.06       96     0.63     1.35  #<BinData::Struct:0x00000002cc16e8>.flags
  0.02  1292.91      0.06       96     0.63     1.25  #<BinData::Struct:0x000000034793e0>.flags
  0.02  1292.97      0.06     1663     0.04     0.40  TSort.each_strongly_connected_component_from
  0.02  1293.03      0.06      928     0.06     0.43  BinData::DSLMixin::DSLFieldValidator#duplicate_name?
  0.02  1293.09      0.06     1088     0.06     0.45  BinData::DSLMixin::DSLFieldParser#initialize
  0.02  1293.15      0.06      444     0.14     2.16  Pio::OpenFlow::Message.method_missing
  0.02  1293.21      0.06     1566     0.04     0.82  BinData::Primitive#sensible_default
  0.02  1293.27      0.06     6323     0.01     0.01  String#=~
  0.02  1293.33      0.06     3126     0.02     0.63  Pio::IPv4Address#to_s
  0.02  1293.39      0.06     2641     0.02     0.15  BinData::Uint32be#read_and_return_value
  0.02  1293.45      0.06     1042     0.06     0.11  Pio::OpenFlow::Port#reserved_port_number?
  0.02  1293.51      0.06      521     0.12     0.21  Pio::OpenFlow13::SetSourceMacAddress#padding
  0.02  1293.57      0.06    18335     0.00     0.00  Array#include?
  0.02  1293.63      0.06      521     0.12    12.99  Pio::OpenFlow::Actions10#get
  0.02  1293.68      0.05      521     0.10     0.13  Trema::Controller::FlowModAddOption#to_hash
  0.02  1293.73      0.05      521     0.10     0.42  Pio::OpenFlow10::FlowMod::Command#get
  0.02  1293.78      0.05      524     0.10   129.56  Pio::OpenFlow::Message#initialize
  0.02  1293.83      0.05     9326     0.01     0.01  BinData::DSLMixin#dsl_parser
  0.02  1293.88      0.05     1562     0.03     0.08  Pio::OpenFlow::Port.reserved_port_name?
  0.02  1293.93      0.05    22967     0.00     0.00  String#*
  0.02  1293.98      0.05      524     0.10    69.43  Trema::Switch#write
  0.02  1294.03      0.05     3346     0.01     0.01  Array#==
  0.02  1294.08      0.05     1042     0.05    38.86  PacketIn(open_flow_version: uint8, message_type: uint8, message_length: uint16, transaction_id: uint32, buffer_id: uint32, total_length: uint16, in_port: uint16, reason: symbol, raw_data: string)#data
  0.02  1294.13      0.05     1563     0.03     3.69  PacketIn(open_flow_version: uint8, message_type: uint8, message_length: uint16, transaction_id: uint32, buffer_id: uint32, total_length: uint16, in_port: uint16, reason: symbol, raw_data: string)#in_port
  0.02  1294.18      0.05      172     0.29     4.24  Gem::Specification.load
  0.02  1294.23      0.05     2309     0.02     0.03  Bundler::LazySpecification#satisfies?
  0.02  1294.28      0.05      578     0.09     0.33  Gem::Dependency#initialize
  0.02  1294.33      0.05     1901     0.03     0.07  Gem::Specification#validate
  0.02  1294.38      0.05     4177     0.01     0.01  BinData::IO::Read#seekable?
  0.02  1294.43      0.05     4168     0.01     0.58  Pio::IPv4Address#to_range
  0.02  1294.48      0.05     1041     0.05     0.45  Pio::OpenFlow10::FlowMod::Command#set
  0.02  1294.53      0.05     5515     0.01     0.06  BinData::StructArgProcessor#sanitize_fields
  0.02  1294.58      0.05     2096     0.02     0.10  Trema::Switch#drain
  0.02  1294.63      0.05     1162     0.04     1.33  Pio::OpenFlow::Message.open_flow_header
  0.02  1294.68      0.05    17230     0.00     0.00  Fixnum#|
  0.02  1294.73      0.05     3126     0.02     0.07  Pio::Mac#to_str
